ProbeName	ZT23a	ZT01a	ZT03a	ZT05a	ZT07a	ZT09a	ZT11a	ZT13a	ZT15a	ZT17a	ZT19a	ZT21a	ZT23b	ZT01b
GS1_SS_00002_16347	0.008	0.1283	0.058	0.0465	0.2455	0.06095	0.0135	-0.05705	-0.11215	-0.1097	0.0836	-0.024	-0.0565	-0.189
GS1_SS_00003_16888	0.1155	0.0533	-0.03469	-0.0204	0.07	-0.553	-0.174375	-0.1546	0.0717	-0.112375	0.117	-0.11135	0.00465	-0.009
GS1_SS_00007_14861	-0.1565	-0.1165	0.3321	0.0421	0.0055	-0.2105	-0.1908	-0.195	-0.357	-0.2705	0.0478	-0.2055	0.276	0.3265
GS1_SS_00009_12762	0.1268	0.00295	-0.126	-0.3835	-0.10105	-0.3055	-0.10365	-0.299	-0.0213	0.04065	-0.0798	-0.04375	0.102765	0.1815
GS1_SS_00011_16789	0.1151	0.1835	0.301	0.17515	-0.1294	-0.1044	-0.038	-0.1786	0.07	0.3295	-0.00347	0.12385	0.2635	0.1505
GS1_SS_00016_00323	0.413	0.3675	0.3435	0.2002	-0.6425	-0.9815	-0.508065	-0.6485	-0.5265	-0.011665	0.209	0.2375	0.229	0.16205
GS1_SS_00019_02015	0.163	0.2405	0.21425	0.2603	-0.25205	-0.03575	0.0435	0.07045	0.11735	0.1795	0.294	0.1835	0.216	0.16845
GS1_SS_00020_18986	0.039925	-0.05475	-0.215	-0.255	-0.147	-0.02436	-0.0023	0.165	0.13675	0.01705	0.163	0.0275	-0.0235	-0.03845
GS1_SS_00021_01564	0.12355	0.10615	-0.17695	0.121	-0.02745	-0.1025	-0.0835	0.1339	0.193	0.2845	0.136	0.1399	0.307	0.192
GS1_SS_00022_20026	0.2664	0.4935	0.1572	0.15475	-0.0813	-0.3225	-0.3795	-0.6055	-0.276	-0.1338	0.205	0.2425	0.18915	0.068
GS1_SS_00027_18006	0.12555	0.3905	0.0916	-0.1605	-0.49	-0.004	-0.22615	-0.1569	0.12705	0.24235	-0.257	0.3645	0.269	0.41719
GS1_SS_00031_10674	0.2315	0.319	0.466	0.2376	-0.391	-0.356	-0.1938	-0.21035	-0.0235	0.1117	-0.0923	0.11585	0.1959	0.17065
GS1_SS_00032_11430	-0.299	-0.252	0.0445	0.0385	0.2535	0.5055	0.39145	0.243	0.736	0.00095	0.837	0.0934	-0.06315	0.1395
GS1_SS_00033_11874	0.03605	-0.0066	0.141	0.2325	0.16	0.334	0.01795	-0.09325	0.1245	0.11375	0.165	0.1176	0.0502	0.06095
GS1_SS_00034_11858	-0.4795	-0.04	0.1382925	-0.240485	0.1555	0.00815	0.0155	-0.082	-0.1898	-0.311	-0.308	-0.0665	-0.525	-0.42865
GS1_SS_00037_14514	-0.0218	-0.2295	0.1955	0.14385	0.4645	0.25345	-0.2975	-0.1485	-0.2666	-0.19215	0.188	-0.0412	-0.0734	-0.06885
GS1_SS_00038_20270	0.114	-0.068	-0.21635	-0.28865	0.279	0.1326	-0.13005	-0.0175	-0.0175	-0.12905	-0.312	-0.127	-0.056	-0.071
GS1_SS_00039_13324	0.10785	-0.10895	-0.184	-0.277	-0.1366	-0.5595	-0.08085	0.2975	0.28315	-0.1271	0.15	-0.021675	0.00653	-0.01405
GS1_SS_00040_10111	0.10187	0.04385	0.191	0.1228	-0.14925	-0.11235	-0.0815	-0.029	0.15095	0.036	0.0948	0.007	-0.0405	-0.05435
GS1_SS_00041_12635	0.1386	0.0589	0.14325	0.167	0.07195	-0.0493	-0.0805	-0.1115	-0.169	-0.2105	-0.0471	0.13978	0.1139	0.163
GS1_SS_00042_09899	0.2295	0.41705	0.0305	-0.2974	-0.2104	-0.1495	-0.20125	0.0305	-0.1151	-0.3295	0.536	0.3315	-0.1518	0.2387
GS1_SS_00045_14409	-0.14795	-0.27805	-0.26415	-0.2935	0.412	0.4275	0.128	0.12975	-0.2895	-0.2575	-0.481	-0.21295	-0.17419	-0.24185
GS1_SS_00048_16360	-0.2465	-0.06515	-0.26	-0.112	0.2665	0.3775	-0.048	-0.1335	-0.3985	-0.334	-0.293	-0.10365	-0.1018	-0.16555
GS1_SS_00050_15319	0.01765	0.0749	0.08765	0.04015	-0.187	-0.1407	0.017	0.255	0.2245	0.2015	-0.00582	0.0155	0.0052	-0.01919
GS1_SS_00051_20570	0.262	0.2445	0.2315	-0.019	-0.301	-0.2955	-0.0135	-0.298	0.16825	0.226	0.24	0.2225	0.4985	0.4515
GS1_SS_00054_14737	-0.01345	-0.0517	0.0732	-0.017655	-0.1865	-0.166	-0.1171	-0.12235	0.0205	0.1464	0.108	0.125	0.1195	0.10875
GS1_SS_00061_18971	-0.2465	-0.13375	-0.1428	-0.06255	0.24304	-0.053	0.00935	-0.0508	0.0285	0.04753	0.0224	0.0105	-0.048	-0.027
GS1_SS_00064_19601	0.0811	0.1425	0.10535	-0.047	-0.1885	-0.143	-0.00895	-0.052755	0.0319	0.12155	0.0372	0.145	0.10146	0.12515
GS1_SS_00069_01155	-0.158	-0.111	-0.073	-0.0305	0.5145	0.3735	0.2051	0.03365	0.08665	0.0946	0.106	0.0845	-0.179325	-0.075
GS1_SS_00070_12058	0.20755	0.179	-0.1414	-0.04875	-0.10515	-0.03195	0.048	0.0685	0.1276	0.163605	0.129	0.146	0.0255	0.1425
GS1_SS_00075_12059	-0.851	-0.08465	0.859	1.545	1.58	0.31	-1.87	-2.03	-2.185	-2.055	-1.73	-1.51	-0.949	-0.0615
GS1_SS_00079_10928	0.1107	0.2175	0.0177	-0.0865	-0.037	0.0395	-0.0861	0.09745	0.04925	0.0664	0.33	0.267	0.147165	0.227
GS1_SS_00082_06509	0.16695	0.2213	0.1834	0.1065	-0.2369	-0.208	-0.1585	-0.17365	-0.09955	-0.01	-0.123	0.14365	0.15825	0.2067
GS1_SS_00083_12679	0.459	0.257	0.373	0.2805	-0.1632	-0.2915	-0.266	-0.385	-0.2242	0.081	0.375	0.3636	0.3025	0.18685
GS1_SS_00084_18450	0.28	0.331	0.169	-0.06363	-0.506	-0.409	-0.14805	-0.00105	-0.0807	-0.0351	-0.102	0.0634	0.1975	0.16455
GS1_SS_00089_09220	0.145	0.1295	0.09535	0.00355	0.01745	-0.03955	0.00935	-0.0557	-0.05885	0.10385	-0.0413	0.141	0.04395	0.03555
GS1_SS_00090_17329	-0.2285	-0.26865	-0.45	-0.2038	-0.145	0.4695	0.276	0.3515	0.15823	0.0464	-0.269	-0.3455	0.09515	-0.1565
GS1_SS_00091_09993	0.358	0.2846	0.3067	0.235	-0.3425	-0.0788	-0.09973	-0.10742	0.011	-0.0569	0.595	0.153	0.18155	0.132
GS1_SS_00094_20065	0.321	0.303	0.297	0.1163	-0.303	-0.235	-0.19745	-0.1589	-0.23285	-0.10145	0.0562	0.252	0.19485	0.0135
GS1_SS_00096_09570	-1.21	-1.59	-1.495	-0.10135	0.54	1.315	0.6704	1.0145	0.502	0.05385	-0.688	-0.87	-1.105	-1.026
GS1_SS_00097_00551	-0.0729	-0.13775	-0.1845	-0.1415	-0.257	0.1307	0.10067	0.06175	0.085825	0.03042	0.0816	0.13055	0.1215	-0.0125
GS1_SS_00098_00659	0.201	0.2948	0.1314	0.05165	-0.1895	-0.07739	0.084435	0.309	0.18955	0.1405	0.152	0.432	0.1905	-0.216
GS1_SS_00099_21780	-0.6775	-0.641	-0.386	-0.2475	1.19	0.5405	0.0885	0.0798	-0.4085	-0.4165	-0.3	-0.573	-0.7645	-0.6995
GS1_SS_00101_20807	-0.05035	0.1765	0.1392	-0.2775	0.058	-0.0496	-0.1005	-0.1333	-0.0541	-0.1635	-0.0873	0.0375	-0.03685	0.0185
GS1_SS_00102_14702	-0.2155	-0.306	-0.421	-0.174	0.0505	0.567	0.378705	0.4275	0.3535	0.040555	-0.252	-0.2061	-0.3535	-0.44
GS1_SS_00106_00925	-0.14825	0.1786	-0.1379	-0.2305	-0.1865	-0.0425	0.0065	0.00435	0.2902	0.1964	-0.421	0.168846	0.364	0.312
GS1_SS_00107_06987	-0.1085	-0.067	-0.1223	0.1934	0.0525	0.104	-0.0033	-0.0791	0.1425	-0.1495	-0.306	-0.3135	-0.168	0.05825
GS1_SS_00110_07817	-0.0015	0.1336	0.0179	0.1555	-0.2045	-0.2615	-0.0692	-0.0713	-0.0883	-0.0257	-0.107	0.04895	0.197	0.234
GS1_SS_00111_14214	0.1705	0.2245	0.203	0.1001	-0.12015	0.2735	0.10251	0.0285	0.153	0.308	0.351	0.2755	0.21365	0.0753
GS1_SS_00114_09277	-0.0601	-0.09135	-0.1395	-0.03985	-0.1147	-0.2035	0.1081	0.2885	0.0575955	0.1244	0.0179	0.0131	0.09165	0.1285
GS1_SS_00118_18846	-0.16425	-0.16125	0.0563	0.0445	0.1528	0.232	-0.314	0.05537	-0.2015	-0.38213	-0.092	-0.23995	-0.3395	-0.016
GS1_SS_00121_19999	0.1195	0.0977	0.14485	0.01	-0.2	-0.10995	-0.1835	-0.2025	-0.2035	-0.0285	0.0419	0.203	0.06295	0.09135
GS1_SS_00125_11304	0.236	0.017845	-0.128	-0.1516	0.059	-0.3895	0.1195	0.2725	0.2805	0.1355	0.0958	0.08055	0.0487	0.1201
GS1_SS_00130_04569	0.27305	0.329	0.14345	-0.1321	-0.3875	-0.338	0.16485	-0.1685	0.0801	0.0545	-0.166	-0.04	-0.02175	0.36
GS1_SS_00132_17860	-0.3405	-0.2433	-0.1825	-0.1592	0.26	0.6025	0.1545	-0.1641	-0.185	-0.118	-0.0944	-0.2795	-0.1915	-0.249
GS1_SS_00133_18900	0.14795	0.258	0.1135	0.00195	-0.4335	-0.597	-0.0765	0.0115	0.08735	0.2645	0.0376	0.09565	0.2405	0.2519
GS1_SS_00136_07237	-0.2349	0.1622	0.3815	0.248	0.034835	0.0776	-0.2481	-0.509	-0.1245	0.00045	0.394	-0.08135	0.0942	0.26
GS1_SS_00138_18549	0.0955	0.1411	0.05375	-0.02395	0.04535	0.1918	-0.0028	-0.10145	-0.07915	-0.04798	-0.114	-0.02565	0.09685	0.1086
GS1_SS_00141_15755	0.1179	0.0381	-0.00345	0.11425	-0.074635	-0.0085	0.0535	0.03284	0.01905	0.2504	0.181	0.283	0.039	0.11585
GS1_SS_00142_20039	-0.3235	-0.312	-0.1542	0.0499	0.664	0.4375	0.08625	-0.03065	0.06745	0.166	-0.117	-0.24815	-0.2255	-0.1033
GS1_SS_00148_10580	0.0475	0.029	-0.06	-0.335	0.2525	-0.314	-0.0075	0.432	0.3755	-0.17815	0.0875	0.45305	-0.071	-0.39885
