V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16
GS1_SS_00493_13995 -0.380710649411196 -0.413867408924458 -0.969243130771584 -0.256372801236467 0.456497528298651 -0.521626877342557 -0.563072826734134 -0.820037712961908 0.522811047325173 0.0834839837744614 -0.281240370871413 3.29140046668249 -0.0242754846436377 -0.123745763183422
GS1_SS_00578_20354 -0.181940271363203 -0.135529755740643 -0.660742090869282 -0.328906904167977 -0.073649068243896 -0.986389208820912 -0.93069659007384 -0.615105083840431 0.475542033289732 0.119728080183438 0.057847392686691 3.3065834862659 0.0114368770641309 -0.0581788963697093
GS1_SS_00604_17302 -0.617765936701419 -0.452757403608803 -0.242229275180293 0.0422681956690444 -0.395857909438936 -1.27780006907188 -0.560866442531551 -0.378788061187975 0.230036526429607 -0.139810185674532 0.560053592614839 3.26846951510053 0.116237538089872 -0.151190084508505
GS1_SS_00836_18856 -0.746445467847027 -0.40873584864155 -0.515051839872904 0.110336343840943 -0.314927621084473 -0.884030868264073 -0.396228084967273 -0.146072811481734 0.297952798955097 -0.12105728413318 0.104082462003804 3.42489371752433 -0.28365821189878 -0.12105728413318
GS1_SS_01013_21577 -0.738154968095801 -0.0680925719742847 -0.2818953759999 0.460904056542702 -0.230097789457612 -1.94933683213782 -0.806483699279245 -0.686357381553513 0.729810676038837 0.462006132852112 0.760668812702327 2.60995285989296 -0.0504593510237185 -0.212464568507046
GS1_SS_01455_12201 -0.150246594921321 -0.583310309694542 -0.917388032519598 0.00723111954166784 0.164708834004657 -1.45506194332895 -0.937635167236268 -0.4652020238473 0.822740712296434 -0.0467612397027856 0.130963609476874 2.9318172452829 0.513409487458419 -0.0152656968101878
GS1_SS_01932_15183 -0.677003582516321 -0.840777413318157 -1.00468226318463 -0.0651445506406617 -0.211885903039107 -1.72751444281162 -0.697966632858956 0.53623295606368 1.06686016786163 0.173310147006811 0.817923945042838 2.45828263435403 -0.160788467828934 0.333153405869403
GS1_SS_02394_15385 -0.424047062484837 -0.496533739832672 -0.148597688563063 0.3080683787283 -0.344311717402218 -1.4533578808241 -0.670501765467477 -0.402301059280486 0.242830369115248 -0.0761110112152271 0.482036404363105 3.20753547264171 -0.0688623434804436 -0.155846356297846
GS1_SS_06851_15580 -0.242258641309331 -1.23087491360528 -1.37279896741954 0.303603104130148 0.412775453218044 -0.659539620045288 -0.537023983846649 0.618989890384069 0.925885493931154 -0.162198918644874 -0.230128380299564 2.80971502874785 -0.0542395956579546 -0.581905949582784
GS1_SS_07270_14269 0.0902169201981805 0.160299114680121 -0.672900308605171 -0.314702425697476 -0.0187998267737269 -1.16347566997875 -1.18060687307434 -0.571670472131257 0.52628390808581 0.0980038306961739 -0.166751126235601 3.16604656690557 0.0123478152182466 0.0357085467122268
GS1_SS_08436_17742 -0.204648520966873 -0.620461583931033 -0.710625130747242 0.0181084770496418 0.654557042811112 -0.618340088711828 -0.310723281927118 -0.36376066240724 0.315117807738328 -0.395583090695314 -0.289508329735069 3.34885597120134 -0.671377469191951 -0.15161114048675
GS1_SS_08582_19866 -0.177192848153102 -0.038192108100239 -0.297660156198917 0.610478012146455 0.591944580139407 -0.807329536392748 -0.760995956375127 -0.713735704757154 -0.634041947126846 -0.743389195968431 -0.408860748241207 3.20515849313323 0.0359416199279546 0.137875495966721
GS1_SS_08852_20214 -0.0259724140084024 -0.0841911213575538 -0.771045305670259 0.570136524283995 0.362574176343543 -1.44726824777138 -1.11061224440455 -0.870143670571097 0.616964614977878 -0.0791286250663233 0.225886776480318 2.8912910738132 -0.0398942788092864 -0.238597258240086
GS1_SS_09632_00442 -0.329519461535038 -0.299689054412565 -0.396637877560604 0.274546282695051 -0.590535523856682 -1.49737990037988 -0.633789614184268 0.259631079133814 0.319291893378761 -0.195282629483907 0.334207096939998 3.18301097713622 -0.344434665096275 -0.0834186027746314
GS1_SS_09746_21777 -0.12990858318463 -0.0283041047162043 -0.367832403598194 0.0478992541351151 0.191838931965385 -0.722601374250448 -1.15526711172849 -0.99354665016625 0.471251247753556 -0.172243782546474 -0.460123138207014 3.23997328601816 0.0394322142627462 0.0394322142627462
GS1_SS_09869_21044 -0.482939298907408 -0.834681789413861 -0.712671113019435 0.671215748066889 0.0996342009939036 -1.02154498749541 0.0336824840239438 0.616255983925255 0.594272078268602 -0.471947346079082 -0.351035864967489 3.04547755898544 -0.603850780019001 -0.581866874362348
GS1_SS_11283_16303 -0.40330522694453 -0.541678125441078 -0.535088939798385 -0.0606675735245068 -0.482375454656843 -1.29350420727232 -0.515321382870307 -0.0870243160952779 0.407164607106679 -0.0277216453110431 0.354451121965137 3.28004954732072 0.0513485824012699 -0.146326986879513
GS1_SS_11335_18086 -0.0988865853081772 -0.911154125441298 -1.23428245345046 0.645197913134937 1.05874288338519 -1.20908437282589 -0.754036681546935 -0.494644675117563 0.625928792657327 -0.135942586226659 -0.0218101033977349 2.708476044276 -0.264897469422976 0.0863934192842318
GS1_SS_14292_18605 -0.324139375199083 -0.718230825649139 -1.44269834234475 -0.313520144498333 0.964327283158584 -0.478708177621111 -0.313520144498333 0.00505677652416666 0.0852909640409445 -0.030340659145 -0.516465442334889 3.10823197018778 -0.0657380948141667 0.0404542121933333
GS1_SS_16825_18372 -0.816536295670937 -0.787455888295223 -0.477264876287609 0.685951418740946 0.346679999357617 -0.894084048672841 -0.419104061536181 -0.257223127144707 0.278825715480952 -0.626544300816273 0.104343271226669 3.18686645305234 -0.448184468911895 0.123730209477144
GS1_SS_19568_16501 -0.167862678319531 -0.637682419388771 -0.432136282670979 0.713049336185295 0.331320796566537 -1.03898678155208 -0.843228556106564 -0.529036604266509 0.30195706274971 -0.344045081220496 0.106198837304193 3.19917879934336 -0.236378057225462 -0.422348371398703
