V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16
GS1_SS_02712_10108 0.687354254969961 0.670289942542662 1.97702248264856 0.467946576337414 -0.727014717369674 0.444712858647937 -0.567529028145297 -1.33673572679126 -0.560309511349132 -0.961320853390671 1.17565611827422 0.779895333902624 -0.398198543289787 -1.65176918698756
GS1_SS_08088_15207 0.697473666485145 0.186872125247806 1.31552057642221 1.74152541260247 -0.246497156238766 -0.111859989484986 -0.303335567448988 -1.22993385252725 -0.223459660665188 0.236025076869138 -0.315987306821363 0.959005890824537 -0.291439155800337 -2.41391005946442
GS1_SS_08573_19951 0.672675857547917 1.14505314723811 2.2436265474489 0.750770074687539 -0.905898806057989 -0.494822386022252 -0.660695327440181 -1.54260363709078 -1.15007201795892 -0.867778937533372 0.39841885751405 0.620338308330335 0.136422031411072 -0.345433712074427
GS1_SS_08732_06998 0.698895416987423 -0.0561302962116254 2.40352544135568 0.441707400242821 -1.09399532441327 0.84461841728858 -0.696779908132029 -1.02670285612133 -0.687920084720552 -0.827567777539553 0.855165826111768 0.707502102587144 -0.293236046556879 -1.26908231087818
GS1_SS_16229_09363 0.149641925426049 0.26602054921177 2.30826064424837 0.378304124941467 0.232599673141637 1.02056617811533 -0.731321799916714 -0.847568325378047 -1.0126912308629 -0.704902135039138 0.798376796494921 0.569674967482187 -0.640173956089078 -1.78678741177586
GS1_SS_16425_10770 0.350409942432316 0.308624097006869 2.02154023030667 0.332906428488969 -1.00161003921478 0.99864701662321 -0.355092963503864 -1.05826881267301 -0.21081544394772 0.0126831820687754 1.18784684942124 0.365384046846278 -1.03398648119091 -1.91826805266405
GS1_SS_16718_10917 1.25725913157422 0.490223439210847 2.29121860944527 -0.331664897931238 -0.562149015663391 0.192029783316989 -0.574510175050143 -0.433386938718054 -0.169939729287895 -0.553264432354163 0.675254543781296 0.435757080662969 -0.559316249970594 -2.15751114901611
GS1_SS_16948_21060 0.750951375575991 0.137660326689953 0.721301459058155 1.86592352143682 -0.784530993142361 -0.352747037768552 -0.573712195087786 -0.934471635608984 -0.0810500841260238 0.756588241834134 -0.834135416214026 1.40347501361871 -0.0190445552864428 -2.05620802097959
GS1_SS_17341_14570 0.12020800574974 0.377572931932698 2.53547885146673 0.574838905572932 -0.249153086112834 1.17370729149866 -0.636331749788075 -1.17792936917309 -1.09449788211378 -0.725419608851407 0.578374138075445 0.210144320613675 -0.439772822648344 -1.24721992622235
GS1_SS_17490_08923 -0.00555615906862884 0.139708752314221 2.11753226123626 0.943084741077601 -0.540589055243793 0.723462646588425 -0.609374042086593 -1.18577998524406 -0.697141235980966 -0.344031362871046 1.31742202852477 0.578544721786088 -0.788990624940194 -1.64829268609208
GS1_SS_17800_09779 1.10351144114137 0.878634954607818 1.93315284777002 0.0815606119674407 -0.377471245252754 0.304799648356334 -0.411675759385689 -1.43217107731992 -0.528480536371565 -0.426230871782683 0.905198034732332 0.673043992000279 -0.892722224106337 -1.81114981635665
GS1_SS_17960_02786 -0.0264403823935243 0.016541520019594 2.29458234791487 0.977773155803878 -0.270004496067862 1.09499652602147 -0.226762097276482 -0.959017416569062 -0.883473466873279 -0.748015350177391 0.501064783585656 0.639127864064157 -0.643816798872861 -1.76655618917917
GS1_SS_18158_01803 0.316909658605696 0.253032351852594 2.47733142629097 0.219953032284023 -0.852273188214474 0.597513541842536 -0.367490056606111 -0.855923320028937 -0.285476157399896 -0.283080758396655 0.992184044281345 0.430634077950057 -0.660641267955168 -1.98267338450597
GS1_SS_18536_09986 0.20069722541295 0.454314726491587 2.8280676178643 0.109501843747972 -0.833898656234558 0.532774201406801 -0.208266891329477 -0.399619959409267 -1.18138450706146 -0.15732326433042 0.562334083739587 0.257301255411902 -0.626350546238401 -1.53814712947152
GS1_SS_21126_19332 0.386070167596821 0.876147032479971 2.02459638892317 1.13868821009594 -0.868742024906187 -0.329792110036064 -0.762109915843699 -1.5675054668687 -1.71156652330413 -0.286843066108118 0.702465945749404 0.101987149766205 0.485027996082842 -0.188423783627463
GS1_SS_23611_08483 0.431791131117297 0.384168275116644 2.34477704165198 0.381343190438639 -0.98075120788511 0.58232778610241 -0.748690680763286 -0.743242303169991 -0.420173691063869 -0.522683906522901 0.932234702649578 0.711878097765202 -0.464164295335658 -1.88881414010094
GS1_SS_24488_10301 0.685356300813096 1.25267323445854 2.04081289860521 1.21497179266565 -0.838859131671023 -0.397572732018966 -0.840654438423066 -1.45105873411753 -1.29486704668983 -0.849630972183279 0.151432072755643 0.2399047894963 0.329346971883059 -0.241855005573804
