nodeName	altName	nodeAttr.nodesPresent...
GS1_SS_00011_16789	NA	aquamarine
GS1_SS_00016_00323	NA	aquamarine
GS1_SS_00031_10674	NA	blue3
GS1_SS_00033_11874	NA	blue3
GS1_SS_00041_12635	NA	blanchedalmond
GS1_SS_00045_14409	NA	aquamarine
GS1_SS_00048_16360	NA	blue3
GS1_SS_00050_15319	NA	aquamarine
GS1_SS_00075_12059	NA	palevioletred1
GS1_SS_00082_06509	NA	aquamarine
GS1_SS_00084_18450	NA	blue3
GS1_SS_00090_17329	NA	palevioletred1
GS1_SS_00094_20065	NA	firebrick2
GS1_SS_00096_09570	NA	aquamarine1
GS1_SS_00099_21780	NA	blue3
GS1_SS_00102_14702	NA	aquamarine1
GS1_SS_00110_07817	NA	firebrick
GS1_SS_00118_18846	NA	aquamarine
GS1_SS_00132_17860	NA	aquamarine
GS1_SS_00133_18900	NA	aquamarine
GS1_SS_00138_18549	NA	blanchedalmond
GS1_SS_00142_20039	NA	blue3
GS1_SS_00166_14818	NA	aquamarine1
GS1_SS_00183_03382	NA	blue3
GS1_SS_00187_09901	NA	aquamarine
GS1_SS_00203_15232	NA	aquamarine1
GS1_SS_00208_12181	NA	blue3
GS1_SS_00236_09118	NA	blue3
GS1_SS_00238_12178	NA	aquamarine
GS1_SS_00240_19339	NA	aquamarine
GS1_SS_00241_19560	NA	blue3
GS1_SS_00246_05672	NA	aquamarine1
GS1_SS_00247_17909	NA	firebrick
GS1_SS_00249_14079	NA	bisque1
GS1_SS_00252_08835	NA	aquamarine
GS1_SS_00263_21153	NA	aquamarine1
GS1_SS_00267_06013	NA	bisque1
GS1_SS_00270_03274	NA	aquamarine
GS1_SS_00271_17715	NA	palevioletred1
GS1_SS_00273_10095	NA	palevioletred1
GS1_SS_00276_04878	NA	aquamarine1
GS1_SS_00280_04396	NA	firebrick2
GS1_SS_00283_19610	NA	palevioletred1
GS1_SS_00287_15114	NA	aquamarine
GS1_SS_00292_13707	NA	blanchedalmond
GS1_SS_00297_12677	NA	aquamarine1
GS1_SS_00301_12572	NA	blue3
GS1_SS_00305_19541	NA	blue3
GS1_SS_00307_19580	NA	blue3
GS1_SS_00314_13853	NA	aquamarine1
GS1_SS_00315_06622	NA	blue3
GS1_SS_00323_10701	NA	blanchedalmond
GS1_SS_00332_04492	NA	blue3
GS1_SS_00341_02364	NA	firebrick
GS1_SS_00343_11026	NA	blue3
GS1_SS_00344_00804	NA	blue3
