V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16
GS1_SS_00041_12635 0.501751589431862 0.170949623489978 2.10799933949946 1.3474107504863 -0.152859253055292 -0.620026462231145 -2.1851808003805 -0.855051940921467 -1.13297317415803 -0.126184582160991 0.150294776973175 0.275016886830309 0.177149682130275 0.34170356406606
GS1_SS_00138_18549 1.06421343975722 1.11255176765056 0.74815514199309 0.66821098432334 0.875693960973204 -0.0512864347044147 -0.747358356368474 -1.2932096282717 -1.53490126773839 -1.78886340582415 -0.926210169573823 0.522080500768865 0.565584995872869 0.785338471141811
GS1_SS_00292_13707 0.794457823587063 2.05132244876025 1.36055234645327 0.480241667293767 0.235102521231169 -0.720603187387447 -1.57943260117033 -1.71000499855762 -0.901298537320187 -0.195786390146903 0.0106022379814015 0.245211351996637 0.258521312504503 -0.328885995225564
GS1_SS_00323_10701 0.573803496923867 1.09835911377223 1.28420529966893 1.21887370530934 0.122190922321648 -0.757565595899248 -1.60433917327841 -1.66142503242757 -1.16224090853438 -0.720776931114236 -0.236181415670282 0.215431158931937 0.584586381429819 1.04507897856635
GS1_SS_00901_16946 0.354806975536784 1.58735019100388 1.20125231627924 1.08987792933945 0.174380468694312 -0.721069602301661 -1.30764137351793 -2.24838369520275 -0.993565602347699 0.0318212534113707 0.0318212534113707 0.310999716673797 0.562705831157739 -0.0743556621379029
GS1_SS_00902_02110 0.00240733979185267 0.548071025945121 1.33246257479045 1.92426694028756 1.35352679796916 -0.5402471716216 -0.985605033114341 -0.876271684234367 -1.47008216622469 -0.661617219460838 -0.683684500886154 -0.799036199245761 0.0489492424343373 0.806860053569282
GS1_SS_00940_09958 -0.0319492388639889 1.40836758991054 0.871797217187751 0.749637873874887 0.42969673662691 -1.26285005053075 -2.43325290169971 -1.33963592347027 -0.207858693234513 0.333365368757338 0.828052538058573 -0.118042490341626 0.538430186398532 0.234241787326328
GS1_SS_01148_08472 0.441386831105808 1.77831373073058 1.15146939657608 0.367448960830908 0.561477743046016 -1.1047981919385 -1.83720162390685 -1.47681263357321 -1.20245198286761 0.00892004270544678 0.200739989173349 0.0272882557611611 0.628649600663685 0.455569881693132
GS1_SS_01604_07882 0.213676989107297 1.5896734998884 1.50897752593037 0.609347571095051 1.10003115467855 0.295674511032391 -1.61213449909146 -1.64597474623515 -1.34141252194194 -0.321519534949824 0.128555752061247 -0.470676931975471 0.0973186008516873 -0.151537370451137
GS1_SS_01889_16710 0.827290319226205 1.03207174696205 1.39686457369798 1.72351996854788 0.0484576341450011 -0.557264273157881 -1.04890551464516 -1.29099529966082 -1.03564032094568 -1.3034314187541 -0.786917939080271 -0.165941059022978 0.300438279212843 0.860453303474926
GS1_SS_02103_17384 0.736362742196053 1.11908222491874 1.25036853396083 1.02996666969017 0.372739449879488 -0.648111062247762 -1.2743069726485 -1.59814653495231 -1.08095804478652 -1.22417947283243 -0.660841855851843 0.172706855375364 0.70135305978483 1.10396440751389
GS1_SS_02240_16896 0.0496685041232928 1.75653400558889 0.961914288630366 0.806925789877833 -0.0185458696223363 -2.01371913020941 -0.862237180229778 -1.51085675964869 -0.910822916515838 -0.216532744988033 -0.0581432446954756 0.741092117210221 0.71679924906719 0.557923891411772
GS1_SS_02317_08490 0.347141463324922 1.47936287463774 1.55662033564497 0.973193302521423 1.05311481390821 -1.13706760438721 -1.71749758083375 -1.13935202758768 -1.14659158449414 -0.268254174353342 -0.101751025630868 0.196622616879805 0.29186241794906 -0.387403827579144
GS1_SS_02325_00892 0.184317863901494 0.197158661983776 0.294381847463913 1.86095921350234 0.617236199247009 1.00429454144152 -1.42995389501398 -1.96009541583964 -0.930630289585811 -0.703348163529415 -0.239428472813819 -0.481569236651141 0.483325019246066 1.10335212664769
GS1_SS_02370_19794 0.538401346551596 1.05744276693188 1.27484985286094 1.19026265883225 0.846154754613418 -0.342745253372777 -1.1346253676839 -1.57015943055501 -1.26420575002572 -1.21741283418006 -0.803475501699247 -0.0936629628712796 0.56575720504598 0.953418515551924
GS1_SS_02722_16456 0.808022216470147 1.82640966317425 1.15647342419598 0.699554914454325 0.734204191487157 -1.19259690959946 -1.92625768851203 -0.947038989758084 -1.05550629177391 -0.63067602554527 0.166257346209867 0.0306732186900894 0.267192196696812 0.0632887338101247
GS1_SS_03021_11409 -0.192113284898823 0.55623374035702 1.20995875605765 0.571841773379707 1.66467458813973 -0.307293535523778 -1.6652194588147 -2.01146351893669 -1.21915972823567 0.355709738975435 0.157971920265143 0.144446761666628 0.720618517963373 0.0137937296049714
GS1_SS_03228_16743 0.0892379892769436 1.06511827146557 1.22748013978067 1.44795046622959 0.532400436162252 0.120684919561131 -0.93620538955524 -2.19066445632661 -1.17547551128275 -1.07634931799564 -0.399214873506787 0.336540750805305 0.413961725907135 0.544534849478433
GS1_SS_03474_00920 1.37181473539738 1.17219617980892 0.966011224365581 1.28513825731292 -0.190988430064898 -1.04146853926941 -1.12919564133066 -1.76167127535304 0.145736554493529 -1.46749656185426 -0.0875019683519338 0.0257027651462584 0.0217629252333283 0.689959774466277
GS1_SS_03576_11508 1.10157452995346 1.25876887670708 0.874090028147423 0.920098129636285 0.812490292265113 -1.45698711395492 -2.14838663910699 -1.15282244300078 -0.683795408378213 -0.0831340833847355 0.384614948418696 -0.333622635935207 0.281863521760237 0.225247996872554
