V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16
GS1_SS_03426_18775 0.63430515516132 0.660066314493293 0.422643003603766 1.71003115326712 -0.385156220378546 -2.12400098443997 -0.462854984874357 -1.36174931205865 0.0917534375612602 -0.862065878318351 -0.535878427161713 0.63430515516132 0.221965849785275 1.35663573819824
GS1_SS_05021_13331 0.272706581066173 1.07940592201057 0.414676351783392 1.76117984019229 -0.175604792944226 -2.13168491433117 -0.562318536629848 -1.32609827987588 -0.0759114369836911 -0.976271077895655 -0.321124933499522 0.326881880243953 0.541544187029943 1.17261920983367
GS1_SS_09648_11809 0.656252664813781 1.23000816454229 0.290126917749457 1.75145998611875 0.15825825040854 -2.04134915987661 -0.402500577779157 -1.44334377300488 -0.115622827914902 -0.513447773859255 -0.647852377110574 0.523116029517663 -0.54197705285128 1.09687152924617
GS1_SS_09939_10321 0.323930641529297 0.581231318543507 0.314025996135251 1.92628216305491 0.0131448793872407 -1.3917740439504 -0.951567581992811 -1.6470937918858 -0.409453324092043 -1.13689450247696 -0.334178019097295 0.634276197209396 0.867123405261861 1.21094666237383
GS1_SS_12045_19144 0.500979342198151 0.931357513044694 0.387961687454679 1.9227023924644 -0.0968645281915022 -1.7086134240533 -0.413791195332026 -1.64136683485853 -0.468890013575485 -1.16955608808876 -0.110964619474277 0.184052675057627 0.53319262766726 1.14980046568707
GS1_SS_13815_12508 -0.766319225938079 -0.218483748686894 -0.154798972469827 2.18806878339621 0.549100806959275 -1.59788136137013 1.25666063099855 -0.0856973302296988 -0.404706818452663 -1.11036341929465 -0.606302075581173 0.476192718324563 -0.764855208094009 1.23938522043852
GS1_SS_20060_17559 0.982221443991949 -0.485803630560203 0.866804300199573 1.48033753825378 -0.862427994514272 -1.49479245076619 1.30417452930752 -0.211029833847476 0.0542271106578092 -1.73155755965213 -1.14226394665649 0.761511467266177 -0.0180604688753106 0.496659495195251
GS1_SS_20184_12006 0.967284078983662 0.59053761679218 1.06131397803312 1.12400057739942 -0.553910732305297 -1.70525460733307 -0.357910631619989 -1.05749308054793 -0.352686748339463 -1.04495576067467 -0.881970602322284 0.0729552613577358 0.180358301605335 1.95773234897125
GS1_SS_21692_12031 -0.00842507003386199 -0.569295606888771 0.182787872569644 2.57762098107283 -0.4089134156171 -1.61255840448119 1.14196680289342 -0.0798963572122082 0.00426536548909056 -1.06492329117783 -0.943001683638293 0.383654888822512 -0.380885459860886 0.777603378062634
GS1_SS_22357_00274 -0.218404714779563 -0.797850914954575 0.444823062921199 2.51715160196751 -0.61303557316226 -1.34651177591544 0.444099917369189 -0.28462418604221 0.519720280807967 -1.1967173401419 -1.11923745956938 0.704122396570562 0.0171341221608942 0.929330582768017
