V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16
GS1_SS_00604_17302 -2.70385868276235 -0.037615523135389 -1.80215323455232 -0.560574194324657 0.162085937076808 0.32977418610995 0.657528491038365 0.680395070451975 0.634661911624755 0.253552254731249 0.405996117488651 0.33739637924782 0.809972353795767 0.832838933209377
GS1_SS_01421_04732 -3.01739906261029 -0.440347611061263 -1.29276708761051 -0.106505308326033 0.558540227557587 0.293313734080191 0.678617893758796 0.599445806153603 0.765707190124508 0.472770465985295 0.170596998292142 0.137608628456645 0.239212807549976 0.941205317649352
GS1_SS_01455_12201 -3.16159523054222 -0.617436407655924 -0.940524823762142 -0.00608970236081135 0.0484948248976808 0.490369569371189 0.620332729510456 0.760692942460865 0.492968832573974 0.542354833426896 0.477373253357262 0.0783863517297123 0.499466990580938 0.715205836412121
GS1_SS_02900_14337 -3.08045267108405 1.0989632350545 -0.0838903232866027 0.595621295334879 0.347305938406535 0.610721553526467 0.285227099174449 -0.365761809529588 -0.493275100925224 0.0184558711230526 0.162747227176009 -0.753335103113692 0.726490199661979 0.93118258848129
GS1_SS_04353_15253 -2.94028259469972 0.133111812916343 -0.499190562304165 -1.21722885280881 0.429615186607316 0.327208398906819 0.150973461933872 0.599896240574421 0.289103547669425 0.770177294541526 0.49272634646925 -0.442033285448074 0.971418540139013 0.934504465502787
GS1_SS_04546_11515 -3.46808456045638 0.734677696424334 -0.0925061274945344 0.124734068686179 0.0244693627566188 0.116378676525382 0.158155637329365 0.250064951098128 0.183221813811755 0.417172794314061 0.091312500042992 -0.00895220588656783 0.659479166977164 0.809876225871504
GS1_SS_07895_18786 -3.09809709852369 0.40501871865575 -0.170088371761965 0.397672460201509 0.795419882223979 1.00951084289043 0.333655065100267 -0.405168642297673 -0.302321023938301 0.201422412923931 -0.213116456993947 -0.596171362107936 0.473233975730844 1.1690295978968
GS1_SS_08752_10522 -2.74994278636078 -0.693067749988947 -1.14945643587084 -0.510199680645858 -0.181974940799288 0.760498955045861 0.279102669937559 0.773002754659064 0.418207440634439 0.860529351951482 0.963685698760404 -0.292946162366462 0.762061929997511 0.760498955045861
GS1_SS_08852_20214 -3.36951328787325 0.23445482567931 -0.898804269517105 0.367178863855466 0.101730787503153 0.489693360633457 0.377388405253632 0.392702717350881 0.377388405253632 0.305921615466471 0.224245284281144 0.193616660086646 0.438645653642628 0.765350978383937
GS1_SS_09265_18179 -2.97500660016301 0.815405946146958 0.215960065401605 -1.08777774367194 0.193167446361858 0.946463505625504 0.207982648737694 0.870108231842351 0.0153850178518294 0.181771136841984 0.222797851113529 -0.726514731891943 0.936206827057618 0.184050398745959
GS1_SS_09843_18601 -2.85512353722491 -0.454948805697557 -1.33563652734373 -0.189005168963736 0.165140879953163 0.83467737243379 0.281407696012673 0.803940168188172 0.288089696935633 0.701037353974583 0.612834941791506 -0.410847599606019 0.639562945483348 0.91887058406309
GS1_SS_18886_17506 -3.00836876904853 0.764757439680119 -0.244364773711719 -0.514246295897908 0.734770603881653 0.874274579117993 -0.0813928400244063 -0.355185688619091 -0.0344569231224603 0.639594994608263 0.166324499180308 -0.738495676651649 0.953804882757401 0.842983967850029
GS1_SS_19083_19030 -3.17132566235884 -0.0794930208079461 -0.626102938521201 -0.477078629679624 0.371516396893731 0.787659749885303 0.452495643962361 0.193811938048681 0.142075196865945 0.603207020451201 0.28491359100089 -0.337052014956784 0.838271779303197 1.01710094991309
GS1_SS_19295_10565 -3.35862023931933 0.170218751992749 -0.46081620539477 -0.241574452828109 0.149247801747242 0.521005556099406 0.349425054090715 0.488595905719986 0.187376802193618 0.540070056322594 0.368489554313903 -0.278750228263326 0.786955334212877 0.778376309112442
GS1_SS_20543_01182 -3.3393198233043 0.0906147087730815 -0.650155179967618 -0.202294302564334 0.0796181247296973 0.089615019314592 0.499487697295276 0.395519993612371 0.259562227257802 0.459500118955697 0.259562227257802 0.379524962276539 0.669434905238486 1.00932932112491
GS1_SS_22513_09987 -2.95885838123018 -0.168779806958728 -0.969475518264265 -0.475342470500246 0.476225071592955 0.860509587358421 0.986545023397256 0.909193863632246 0.371195541560593 0.48858148689088 -0.000732558906948428 -0.577777153320044 0.44904095793752 0.609674356810545
GS1_SS_22822_06592 -3.14005211645329 0.457647735406628 -0.5661442981512 -0.449568204138415 -0.519975548047127 -0.0121192969023193 0.27643539124814 0.436871797859795 0.218724453618048 0.55344789187258 0.507279141768507 0.161013515987956 0.842002580023039 1.23443695590766
GS1_SS_24567_11142 -3.13519315642234 0.342207646100228 0.347714219025838 -0.662930512946255 -0.110707977031175 -0.0721619665519064 0.226569614662423 0.258232408984679 0.0599957836627279 0.830915993248095 0.227946257893826 -0.486531579204041 1.16406365524749 1.00987961333041
