Pathway	L1 expressed	I1 expressed	I5 expressed	f1e1_expressed	f1e5_expressed	e1e5_expressed	f1e1e5_expressed	L1 rhythmic	I1 rhythmic	I5 rhythmic	f1e1_rhythmic	f1e5_rhythmic	e1e5_rhythmic	f1e1e5_rhythmic
ABA/drought signalling	0.000111475	0.54865918	0.042935602	0.00041569	0.000484616	0.044778706	0.000859807	0.04542235	0.11276997	0.309953408	0.055776019	0.430358557	0.252697635	0.275086036
Circadian Clock	0.170380863	0.724758561	0.433192748	0.125319999	0.128615981	0.358202297	0.112291019	0.040531302	0.000269914	0.000128746	2.91E-05	1.30E-05	2.62E-06	2.64E-07
Ethylene Signalling	0.833151657	0.997775647	0.84159831	0.985396736	0.933154653	0.950800634	0.982205765	0.980935092	0.407597885	0.189093026	1	1	0.132628764	1
Jasmonate Signalling	0.031327837	0.27361263	0.156563863	0.012408588	0.044929831	0.086406232	0.03141169	0.965905898	0.114836111	0.367531558	0.877251448	0.949646601	0.108061715	0.820004095
Amino Acid Metabolism	0.094576534	0.85153264	0.29263422	0.172912485	0.188129831	0.312500016	0.17674025	0.077234941	0.786329827	0.278080071	0.75017234	0.097781134	0.646608615	0.340548177
Carbohydrate Metabolism	0.891844043	0.879843235	0.745447757	0.937422841	0.965339589	0.791795829	0.971127394	0.842898038	0.133101226	0.351284118	0.226860015	0.189408043	0.296044667	0.373552783
Cell Wall Synthesis/ Cell Expansion	1	0.999860819	0.27952321	1	1	0.883020194	1	0.212941381	0.527763703	0.99587925	0.52736995	0.970712012	0.980880991	0.835994784
Light Harvesting	0.006084015	0.991489894	0.146665903	0.192393394	0.002201894	0.796189713	0.156374427	0.999987632	0.000578735	0.00523694	0.570491992	0.587640023	0.000104422	0.15081883
Lipid Metabolism	0.701753495	0.232321412	0.50778312	0.527431005	0.542159103	0.347817051	0.466318155	0.278881297	0.502355515	0.490002886	0.455574362	0.48288323	0.162240941	0.301098034
Photosynthesis	0.744363661	0.880744464	0.981239892	0.86253074	0.926238607	0.972815502	0.936279581	0.999682952	0.012139079	0.451327085	0.246197882	0.91978761	0.493007924	0.909505595
Pigment Synthesis	0.041114042	0.997984541	0.988682519	0.556790214	0.771435875	0.975061124	0.73169717	0.230434242	0.351226913	0.637567779	0.316525121	0.655570186	0.518198934	0.635974179
Transporters	8.09E-06	0.959448206	0.035451676	0.00321292	6.10E-05	3.11E-01	0.005201765	0.000946247	0.026556206	0.157742501	0.005661319	0.037679714	0.17043612	0.018561902
Chromatin remodelling	0.996788053	0.042743918	0.974795924	0.972097074	0.993784896	0.869373799	0.97837359	0.969706691	0.997566265	0.993367235	0.997403509	0.943186972	0.999199104	0.992376987
RNA synthesis and proccessing	0.0042925	0.001345214	0.067974782	0.000205035	0.000600128	0.010252034	0.00014917	0.979634232	0.995981517	0.995207003	0.933420492	0.996934864	0.988103438	0.960332097
Protein Synthesis	5.91E-07	1.62E-03	0.064576359	1.04E-08	5.04E-08	8.98E-03	9.78E-09	3.26E-05	0.992774473	0.848907374	0.974163144	0.838472264	0.992518545	0.997515638
Protein Degradation	0.320112914	0.045867276	0.515719294	0.132957193	0.144446717	0.288720111	0.092145299	0.943910529	0.401928517	0.623934679	0.842416671	0.953920887	0.293783341	0.869461508
Transcription Factors	0.999752658	0.588714769	0.978836276	0.998375698	0.99764659	0.98542366	0.995685025	0.211606732	0.011471094	0.006176334	0.000390066	0.000380492	0.001331062	7.88E-05
