Hour	leaf +1	internode 1	internode 5
-2	0.69531474	0.425700452	0.541467309
0	1.035619491	0.979443324	0.939042681
2	1.168328115	1.181116742	1.307752683
4	1.241008294	1.381204262	1.321283325
6	0.933598054	1.185874437	0.80080462
8	-0.294158605	0.24200055	-0.171597538
10	-1.093640578	-1.029361365	-1.075895463
12	-1.311681116	-1.100726795	-1.27659999
14	-1.134018455	-1.256673475	-1.362294058
16	-1.182471908	-1.259316639	-1.211201886
18	-1.115175446	-1.222312342	-1.024028001
20	-0.552577021	-0.603811951	-0.356516316
22	0.544893687	0.208960999	0.481030441
24	1.064960749	0.8679018	1.086752193
