Hour	leaf +1	internode 1	internode 5
-2	-0.648616157	0.063868886	-0.721347419
0	-0.771282692	-0.182231408	-0.797370182
2	-0.085608211	-0.392535296	-0.062610176
4	1.256646765	1.387590165	1.299717741
6	1.326629596	1.413691711	1.405389381
8	1.321911652	2.002840901	1.798807181
10	1.425706413	-0.010706961	1.299717741
12	1.042923916	0.272681257	0.157855838
14	-0.000685225	-1.281479389	-0.785966767
16	-0.989880749	-1.681205927	-0.922807741
18	-1.112547285	-1.0622264	-0.88479636
20	-0.933265425	-0.440263838	-0.896199774
22	-0.958427792	-0.000266342	-1.067250991
24	-0.873504805	-0.089757358	0.176861528
