Hour	leaf +1	internode 1	internode 5
-2	-0.39725619	0.012732831	-0.536263487
0	-0.521809425	-0.050890384	-0.565449168
2	-0.959525082	-0.865883711	-0.886491659
4	-0.881234477	-1.388912396	-1.227189812
6	-0.866999821	-1.768645551	-1.578609235
8	0.466431532	-0.236816334	0.27003562
10	1.467483679	1.161031562	1.647301947
12	1.855378041	1.792964849	1.756897157
14	1.734383469	1.406783396	1.389395828
16	0.578636204	0.583049041	0.460219047
18	-0.123594938	0.065537234	0.309525633
20	-0.600100031	0.487900809	-0.044871921
22	-0.710418611	-0.217614733	-0.520181582
24	-1.041374351	-0.981236613	-0.474318369
