Hour	leaf +1	internode 1	internode 5
-2	-0.685171159	0.170926358	0.843810483
0	-0.883753559	0.543087549	-0.343137051
2	-1.236270639	0.64269655	0.859847219
4	-0.985710295	0.768188206	-1.038673185
6	0.288415709	-1.985569311	0.40784037
8	1.186701197	0.267398068	2.106130675
10	1.707813401	-0.800457489	-0.786667339
12	1.694485723	-0.531826914	0.636249305
14	0.752018983	-1.922039161	-1.747267805
16	0.283084638	-0.078880469	0.156292716
18	-0.212704979	0.407399696	0.580349826
20	-0.527238176	1.317214199	-0.931685249
22	-0.537900319	1.054466045	-0.08173826
24	-0.843770526	0.147396672	-0.661351705
