Hour	leaf +1	internode 1	internode 5
-2	0.860486576	1.080630628	1.026049621
0	0.023931272	0.896002158	0.890219469
2	-0.065647694	1.356215771	0.941401845
4	-0.798075245	-0.272334945	1.19665754
6	-2.182288494	-1.114547576	-1.122297797
8	-0.51541308	-2.206027649	-2.010771347
10	0.776311446	-0.74121795	-0.749585111
12	1.370733352	-0.455586846	-1.145920432
14	1.390478135	-0.250459186	-0.453645989
16	-0.057334101	0.139839969	-0.436782053
18	0.938426511	-0.386894195	0.027337107
20	-0.233790114	0.22618093	0.628205076
22	-0.531001067	0.377413368	0.344011653
24	-0.976817496	1.350785522	0.86512042
