Hour	leaf +1	internode 1	internode 5
-2	-1.224804134	-0.948295083	0.090060377
0	-1.442106081	-1.236191642	-1.664493801
2	-0.606040993	-1.130508095	-0.679275161
4	-0.870160199	-0.843704814	-1.415256943
6	2.033021076	0.251850921	0.096657824
8	1.690092107	1.393142121	0.662022315
10	0.665139187	1.322079046	1.652555565
12	-0.216252164	1.07973574	1.681877549
14	0.204634571	1.37674295	0.848216909
16	-0.367694709	0.308428061	0.166297534
18	-0.0714126	0.476610671	-0.652885376
20	0.631485288	-0.646550335	0.07649896
22	-0.482501364	-0.552892847	-0.746349198
24	0.056600016	-0.850446695	-0.115926556
