Date	maximum	minimum	average
01/04/2012	30	17.4	23.7
02/04/2012	31.6	17	24.3
03/04/2012	31.8	17.2	24.5
04/04/2012	31.4	17.8	24.6
05/04/2012	31.6	17.8	24.7
06/04/2012	32	17.6	24.8
07/04/2012	31.8	17.2	24.5
08/04/2012	32.6	18.2	25.4
09/04/2012	28.8	18.6	23.7
10/04/2012	30	19.6	24.8
11/04/2012	30.8	19	24.9
12/04/2012	31	19	25
13/04/2012	31.4	19.8	25.6
14/04/2012	32	19.6	25.8
15/04/2012	32	19	25.5
16/04/2012	28.2	19.4	23.8
17/04/2012	29.4	16.4	22.9
18/04/2012	30	17.6	23.8
19/04/2012	30.4	16.6	23.5
20/04/2012	30.6	17.2	23.9
21/04/2012	30.2	17	23.6
22/04/2012	30	16.2	23.1
23/04/2012	27.4	15.8	21.6
24/04/2012	27.6	15.2	21.4
25/04/2012	30	15.6	22.8
26/04/2012	28.2	19.4	23.8
27/04/2012	28	20.6	24.3
28/04/2012	27.4	19.2	23.3
29/04/2012	18.6	18	18.3
30/04/2012	18.6	18.2	18.4
01/05/2012	20	13.8	16.9
02/05/2012	23.4	11.4	17.4
03/05/2012	26	13.4	19.7
04/05/2012	26.4	13.8	20.1
05/05/2012	26.6	14.6	20.6
06/05/2012	27.8	14.6	21.2
07/05/2012	26.6	14.4	20.5
08/05/2012	26.6	17.4	22
09/05/2012	26.8	13.4	20.1
10/05/2012	26.6	13.4	20
11/05/2012	28.6	14.4	21.5
12/05/2012	26.2	18.2	22.2
13/05/2012	24.6	18.4	21.5
14/05/2012	18.8	17	17.9
15/05/2012	21	16.4	18.7
16/05/2012	23.8	15.4	19.6
17/05/2012	24	13.8	18.9
18/05/2012	24.2	12.6	18.4
19/05/2012	24.6	12.4	18.5
20/05/2012	25	12	18.5
21/05/2012	25.4	12.4	18.9
22/05/2012	25	13.4	19.2
23/05/2012	26.2	13.8	20
24/05/2012	26.4	14.6	20.5
25/05/2012	26.2	18.2	22.2
26/05/2012	27.4	18.2	22.8
27/05/2012	27.6	16	21.8
28/05/2012	26.2	14.6	20.4
29/05/2012	28	15.4	21.7
30/05/2012	28.6	15.8	22.2
31/05/2012	28.4	16.2	22.3
01/06/2012	21.4	17.4	19.4
02/06/2012	23.2	17.8	20.5
03/06/2012	28.2	16.4	22.3
04/06/2012	29.4	15.8	22.6
05/06/2012	21	19	20
06/06/2012	20	18.8	19.4
07/06/2012	20.4	18.4	19.4
08/06/2012	15	14.2	14.6
09/06/2012	18.8	14.6	16.7
10/06/2012	23.6	14.4	19
11/06/2012	27.4	14.2	20.8
12/06/2012	27.4	16.8	22.1
13/06/2012	24.8	17.4	21.1
14/06/2012	27	17	22
15/06/2012	26.8	15.8	21.3
16/06/2012	26.2	15.6	20.9
