Probes	ZT22a	ZT00a	ZT02	ZT04	ZT06	ZT08	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22b	ZT00b
GS1_SS_00011_16789	1.4611	0.7879	0.5378	0.335	-0.2781	-2.3232	-1.2372	-0.7149	0.5738	-0.7617	-0.3422	0.1988	0.2871	1.4758
GS1_SS_00016_00323	0.2565	1.0526	1.2049	1.2999	-0.9742	-1.7539	-1.4776	-1.1502	-0.5957	-0.2736	0.1999	0.558	0.7745	0.8788
GS1_SS_00050_15319	0.9914	0.579	0.6096	0.7249	-1.5555	-2.6378	-0.9117	-0.2927	0.7552	0.0893	0.2656	0.3358	0.2228	0.8241
GS1_SS_00082_06509	-0.0539	0.4341	1.2483	0.6999	-2.6351	-1.7331	-0.5347	-0.0074	0.4934	0.3294	0.1777	0.9658	0.4113	0.2043
GS1_SS_00133_18900	1.1909	0.5339	0.0435	0.5794	-1.8271	-2.3925	-1.0216	-0.1323	0.6374	0.0846	0.4509	0.8391	0.4902	0.5235
GS1_SS_00187_09901	0.292	1.0009	1.0701	1.4507	-1.9681	-1.2825	-0.649	-1.2284	0.3103	-0.795	0.2168	-0.1018	0.7673	0.9167
GS1_SS_00240_19339	0.5449	0.7593	1.6708	1.1836	-0.6393	-1.5578	-1.6394	-1.1079	-0.8678	-0.4174	0.2201	0.4759	0.553	0.822
GS1_SS_00252_08835	1.4788	0.6513	0.7711	1.1569	-0.8704	-2.4646	-0.2101	-0.5481	-0.2727	-0.581	-0.5674	0.4734	-0.1563	1.139
GS1_SS_00270_03274	1.2391	1.3681	0.7335	0.9493	-1.3147	-1.6595	-1.3217	-1.229	-0.3376	-0.3996	0.5036	0.7757	0.4965	0.1962
GS1_SS_00287_15114	0.4026	0.442	1.2548	0.7501	-2.371	-1.6361	-0.653	-0.4211	-0.5142	0.1625	0.2327	1.3002	0.4359	0.6146
GS1_SS_00380_19508	1.3139	-0.2392	0.3731	0.7156	-1.8323	-1.4235	-1.234	-0.3701	0.1721	-0.427	0.0051	0.7764	0.2626	1.9073
GS1_SS_00412_08974	0.3047	0.5046	0.3362	1.6136	-0.7893	-2.1594	-1.5155	-0.723	0.2084	-0.5254	0.9676	0.2584	0.3384	1.1805
GS1_SS_00560_12500	0.9818	2.1468	0.7925	0.5452	-0.9752	-1.8929	-0.5908	-0.6371	-0.9598	-0.7163	0.3066	0.771	-0.0653	0.2935
GS1_SS_00569_08294	1.3774	1.2583	0.8783	1.6119	-0.3717	-1.725	-1.1899	-0.7188	-0.3034	-1.0897	-0.3949	-0.0951	-0.0477	0.8103
GS1_SS_00586_15866	0.6202	0.5241	1.1665	0.9517	-1.8543	-1.8624	-0.5566	-0.7482	-0.346	-0.6422	-0.0311	0.84	0.6685	1.2697
GS1_SS_00603_13644	0.5251	0.5174	0.8507	1.4789	-0.9977	-1.9828	-0.6277	-1.4615	0.2815	-1.0273	0.5185	1.1664	0.5162	0.2422
GS1_SS_00614_14931	1.7751	0.3086	1.0827	0.547	-1.2011	-2.2234	-0.9384	-0.6097	0.0393	0.048	-0.1456	-0.2149	0.3202	1.2123
GS1_SS_00748_05585	1.1108	1.2333	0.6587	1.0731	-0.7218	-1.882	-1.9126	-0.7957	-0.4256	-0.2704	0.4727	0.2104	0.6658	0.5834
