Pathway	L1 expressed	I1 expressed	I5 expressed	f1e1_expressed	f1e5_expressed	e1e5_expressed	f1e1e5_expressed	L1 rhythmic	I1 rhythmic	I5 rhythmic	f1e1_rhythmic	f1e5_rhythmic	e1e5_rhythmic	f1e1e5_rhythmic
ABA/drought signalling	0.000111475	0.54865918	0.042935602	0.00041569	0.000484616	0.044778706	0.000859807	0.04542235	0.11276997	0.309953408	0.055776019	0.430358557	0.252697635	0.275086036
Auxin Signalling	0.384738623	0.815344349	0.314941797	0.414981218	0.43308696	0.295147068	0.342353585	0.79555292	0.344593835	0.741753374	0.528268407	0.732087331	0.838665573	0.663507322
Brassinosteroids Signalling	0.66910102	0.55964719	0.570735021	0.556790214	0.566131231	0.464452084	0.517866598	0.795605802	0.883788342	0.792660715	0.921907052	0.890910005	0.413469406	0.674344042
Circadian Clock	0.170380863	0.724758561	0.433192748	0.125319999	0.128615981	0.358202297	0.112291019	0.040531302	0.000269914	0.000128746	2.91E-05	1.30E-05	2.62E-06	2.64E-07
Citokinin Signalling	0.978508717	0.701745482	0.999029733	0.961397565	0.96308881	0.997627442	0.953731976	0.905921481	0.50042995	0.3470026	0.557961728	0.838833602	0.398566507	0.674398268
Ethylene Signalling	8.33E-01	0.997775647	0.84159831	0.985396736	9.33E-01	9.51E-01	0.982205765	0.980935092	0.407597885	0.189093026	1	1	0.132628764	1
Flowering	0.619394576	0.813937328	0.865484286	0.679239152	0.495733392	0.911336972	0.636359661	0.278378137	0.117440312	0.035726922	0.216475438	0.032950505	0.032907459	0.062513173
Gibberelin Signalling	0.911123839	0.798359317	0.986091755	0.873588604	0.876953504	0.976270079	0.859010754	0.201803915	0.935706567	0.466581658	0.764741985	0.323289112	1	1
Jasmonate Signalling	3.13E-02	2.74E-01	0.156563863	1.24E-02	4.49E-02	8.64E-02	3.14E-02	9.66E-01	0.114836111	0.367531558	0.877251448	0.949646601	0.108061715	0.820004095
Light Signalling	0.820927458	0.636945428	0.978923485	0.741858927	0.900736146	0.959912634	0.879167705	0.38399504	0.995908679	0.42288771	0.958800539	0.706483359	0.903484024	7.99E-01
Redox	0.987376635	0.999992739	0.988098517	0.999968434	0.99997242	0.998213272	0.999990767	0.483712128	0.971411981	0.38186486	0.844379085	0.542764092	1	1
Amino Acid Metabolism	0.094576534	0.85153264	0.29263422	0.172912485	0.188129831	0.312500016	0.17674025	0.077234941	0.786329827	0.278080071	7.50E-01	9.78E-02	6.47E-01	3.41E-01
Carbohydrate Metabolism	0.891844043	0.879843235	0.745447757	0.937422841	0.965339589	0.791795829	0.971127394	0.842898038	0.133101226	0.351284118	0.226860015	0.189408043	0.296044667	0.373552783
Cell Wall Synthesis/ Cell Expansion	1	0.999860819	0.27952321	1	1	0.883020194	1	0.212941381	0.527763703	0.99587925	0.52736995	0.970712012	0.980880991	0.835994784
Chloroplast genes	0.006901838	0.404593618	0.095202037	0.002908766	0.003129149	0.055786221	0.002135918	0.999956895	0.992264245	0.625032146	0.984413223	0.647981767	0.811949501	0.806776406
Light Harvesting	0.006084015	0.991489894	0.146665903	0.192393394	0.002201894	0.796189713	0.156374427	0.999987632	0.000578735	0.00523694	0.570491992	0.587640023	0.000104422	0.15081883
Lipid Metabolism	0.701753495	0.232321412	0.50778312	0.527431005	0.542159103	0.347817051	0.466318155	0.278881297	0.502355515	0.490002886	0.455574362	0.48288323	0.162240941	0.301098034
Nitrogen Metabolism	0.500983447	0.724758561	0.433192748	0.415273515	0.42207968	0.358202297	0.387398101	0.246473886	0.884963135	0.970955166	0.702773061	0.904461848	0.880560078	0.763899624
Photorespiration	0.550638307	0.996331979	0.766165538	0.919412353	0.822145728	0.859182038	0.90130039	0.426242267	0.883788342	0.710522114	0.921907052	0.746916766	0.885431193	0.910181176
