Hour	leaf +1	internode 1	internode 5
-2	0.042903563	-0.030564328	-0.177601505
0	0.511243542	-0.307586678	0.678018244
2	1.327360733	0.281085815	0.391526119
4	1.188868119	0.088159536	1.286814009
6	0.237658802	1.39412204	2.336917836
8	0.127915771	1.752767046	-0.063004655
10	-2.022120237	-0.047878225	-0.599075497
12	-1.150358693	0.09063295	-1.359932467
14	-0.967968866	0.27119216	-0.886118568
16	-0.436256151	-0.196283055	-0.924684815
18	-0.836586364	-2.687010786	-0.919726298
20	1.100146288	0.120313916	-0.45031997
22	-0.133303557	-0.065192122	0.118807654
24	1.010497051	-0.66375827	0.568379912
