Hour	leaf +1	internode 1	internode 5
-2	1.533110125	-0.707494544	-0.799751309
0	1.47113691	-1.26291146	0.15348077
2	0.084314068	-0.788400389	1.370619849
4	-0.529909356	0.859416116	-0.002752173
6	0.10055105	-0.08834294	-0.695244138
8	-1.202663038	-1.58380384	1.391732409
10	-1.752158881	0.648821958	-0.742747398
12	0.071919425	-0.095068025	0.108933269
14	-0.124879964	-1.167326496	-1.451390471
16	-0.737175332	0.051381795	-1.548191558
18	-0.812920373	1.655843691	0.65912658
20	-0.001759843	1.27316246	0.160870166
22	0.384539867	0.871022861	1.574356052
24	0.051950277	0.181104246	0.464891029
