Hour	leaf +1	internode 1	internode 5
-2	0.111609348	-1.113646501	0.493946863
0	-0.877652391	-0.750725439	-0.293094743
2	-1.427274643	-1.355593875	-0.065137624
4	-1.549736896	-1.332911309	-1.541946031
6	-0.806216077	-0.515204792	-2.071880829
8	0.185145015	0.665233766	0.430407091
10	1.743622966	0.889980195	0.820161361
12	1.666355116	1.831306699	1.602945148
14	0.752261874	1.143268852	0.252561235
16	0.294486312	0.893760622	0.943408867
18	-0.482565838	0.533296839	0.396017008
20	0.057871745	-0.079699517	0.02918946
22	-0.242160774	-0.450748499	-1.191167188
24	0.007283172	-0.002200749	-0.51941424
