Hour	leaf +1	internode 1	internode 5
-2	-0.094591155	-0.309321512	0.400105937
0	0.928654825	-0.386433116	-0.760470116
2	0.71454989	-1.663458922	-0.845653199
4	2.159927049	-0.379226424	-1.722691274
6	0.731435138	1.178860368	0.581511136
8	0.265334774	1.537753625	1.081396762
10	-1.173896155	0.80267105	-0.909105905
12	-1.770958495	1.165888322	0.745879719
14	-0.687601036	0.355135482	-0.28414022
16	0.172871161	0.795464358	1.425605957
18	-0.272359037	-0.826041322	1.290008396
20	-0.907784659	-0.5341703	-0.108558762
22	-0.496460038	-0.216355186	0.419054827
24	0.430877738	-1.520766423	-1.312943258
