Hour	leaf +1	internode 1	internode 5
-2	-0.985927314	-1.138894837	-1.222592802
0	-0.925465285	-0.751059869	-0.888630014
2	-0.925465285	-1.127404826	-1.122814289
4	0.513391775	-0.443372437	-0.542657775
6	1.135713116	2.168627323	1.388862098
8	1.397350612	1.650446654	1.468124467
10	1.140287546	0.335687994	1.38545942
12	0.730876079	0.364413022	0.579825483
14	0.677375139	0.235009126	0.55930934
16	0.253146497	-0.620714168	0.189017965
18	-0.475182282	0.039019672	-0.136338051
20	-1.197643858	-0.745409043	-0.629426052
22	-1.33845674	0.033651388	-1.028139791
24	-1.409360402	-0.670818151	-1.475691961
