Hour	leaf +1	internode 1	internode 5
-2	1.286889655	0.284084939	1.134609487
0	0.945933807	0.10442885	0.902071622
2	1.659227192	1.320618054	-0.158361641
4	0.639651436	2.187773551	1.512361785
6	0.63357992	0.459253245	0.179245684
8	-0.254397559	-1.605126954	-2.027104748
10	-1.535999456	-1.062684275	-0.625817936
12	-1.175366045	-0.995657064	-1.623490863
14	-0.680866683	-1.078753434	0.048314638
16	-0.88349438	-0.315251248	0.263647515
18	-1.183412633	-0.000961668	-0.520856685
20	-0.097854861	0.294218643	0.354541794
22	0.652525976	0.06780275	-0.348806798
24	0.352754025	0.498340387	0.052642937
