Hour	leaf +1	internode 1	internode 5
-2	-0.352568003	-0.41958892	1.724953554
0	0.247860105	0.985469089	1.116630025
2	1.059870343	1.170106962	1.045819879
4	1.293385919	-0.452217328	-1.740108764
6	2.010004571	0.57410677	0.204466596
8	0.602293261	-0.921097965	0.427840421
10	-0.141080414	0.332448377	-1.287696303
12	-1.228960471	-0.069863066	0.353811632
14	-1.173181446	-1.029708479	-1.068828578
16	-1.258268094	-0.617893615	0.109838492
18	-0.777055833	-2.07508467	0.161658644
20	-0.557721364	-0.018725616	-1.075587728
22	-0.156036756	1.214908799	0.407241106
24	0.431458182	1.327139663	-0.380038974
