Hour	leaf +1	internode 1	internode 5
-2	-0.600093903	-0.434741547	-1.323764366
0	-0.863071023	-0.41630996	-0.245093562
2	-1.149077691	-0.196613908	-0.791684597
4	-0.060999274	-0.10043068	-0.247512107
6	0.619286806	0.285192033	1.086718222
8	1.666961913	2.78421873	2.479396708
10	1.211450997	0.602511942	0.891219216
12	1.992084946	0.796996971	0.238212228
14	-0.068551611	0.425098588	0.280536755
16	-0.25498935	-0.422877537	0.177950163
18	-0.812439884	-0.594905689	-0.080229452
20	-0.211639612	-0.534123821	-0.900720641
22	-0.490364879	-0.677530048	-0.493195909
24	-0.978557434	-1.516485076	-1.071832657
