Hour	leaf +1	internode 1	internode 5
-2	0.551447971	0.97793788	0.576102697
0	1.159834122	1.036831323	1.368895873
2	1.215297897	0.911682757	0.748696427
4	1.294205124	-0.470718108	-0.484115929
6	-0.093818732	-1.684536494	-0.772404357
8	-0.446328189	-0.864936088	-0.892650977
10	-1.742007718	-0.836716313	-2.156947464
12	-1.650521078	-1.247743463	-1.185870654
14	-0.829428491	-0.929964264	-0.024751079
16	-0.573265901	0.23808901	0.463252951
18	-0.140076664	1.379149456	1.092366579
20	-0.162719607	1.06014331	0.435751752
22	0.421651302	0.343606428	0.964912748
24	0.995729963	0.087174564	-0.133238566
