Hour	leaf +1	internode 1	internode 5
-2	-0.323584505	-0.034624356	-0.089118022
0	-0.646173635	-0.177897555	-0.595315498
2	-0.683128953	-0.636304525	-0.941770328
4	-1.503075073	-1.399755605	-0.843227786
6	-1.225910187	-1.979911162	-2.018477254
8	0.531931109	0.239309963	0.099150097
10	1.986892777	1.339587588	1.170151929
12	1.848310334	1.50943023	1.477189742
14	0.531007226	1.314363434	1.539427137
16	0.232516042	0.565542363	0.457533761
18	-0.103700362	0.264803175	0.559188172
20	-0.150356451	-0.122068092	0.086183973
22	-0.012543911	-0.316798566	-0.227803683
24	-0.482184411	-0.565676892	-0.673112241
