Hour	leaf +1	internode 1	internode 5
-2	0.913665385	-0.217006517	-0.67401227
0	0.409789722	-0.268340078	-0.275749064
2	0.495692997	1.335619809	0.40913034
4	1.251171115	1.642979505	-0.009129345
6	0.540409771	1.09841598	2.258804643
8	-0.752846384	1.047082419	1.676573831
10	-1.19060006	-0.482871585	-0.070785155
12	-2.175545831	-0.48992995	-0.320741142
14	-0.875229132	-1.244105515	-1.458374157
16	-0.834042631	-1.175874657	-0.454051002
18	0.235041279	-1.620123848	-0.838983222
20	1.101722952	0.050355779	-0.965627588
22	0.269755616	0.237081606	0.202500057
24	0.611015202	0.086717051	0.520444073
