Hour	leaf +1	internode 1	internode 5
-2	0.44634539	1.258989492	-0.003464168
0	-0.397490539	0.811087706	-0.094746459
2	-1.492275936	-1.149988041	-1.233919768
4	-1.609679196	-2.210958982	-1.016771814
6	-1.791654249	-1.410929543	0.100063308
8	-0.206123226	0.289204702	1.437757047
10	0.805305857	0.250206852	0.499887165
12	1.013109626	0.039475083	0.682637281
14	1.081203517	0.45723956	0.336618026
16	0.780651172	-0.069518175	1.213261982
18	0.777716091	0.866430244	0.995075042
20	0.572847402	-0.21203238	-0.053929175
22	0.314806778	1.178413051	-0.736134428
24	-0.294762687	-0.097619568	-2.126334038
