Hour	leaf +1	internode 1	internode 5
-2	0.247465938	0.555232786	-1.429414694
0	0.710284978	0.442814264	0.059890081
2	0.274362679	-0.136944114	1.458411258
4	-1.122316761	-0.37302301	-0.266477098
6	-1.821910733	-1.872043701	-2.101347121
8	-1.821910733	-1.055885232	0.020912183
10	-0.331998551	-0.605247557	-0.820312311
12	-0.324891122	-0.307820267	-0.42500661
14	0.143223649	-0.867022115	-0.027373871
16	0.361742244	0.47429145	0.284332965
18	0.34683058	1.631238638	1.098040226
20	0.75069977	1.894619175	1.165233469
22	1.121400958	0.164016329	0.914204168
24	1.467017103	0.055773352	0.068907356
