Hour	leaf +1	internode 1	internode 5
-2	-0.165394153	0.462770722	-0.522584148
0	-0.39863273	0.618567714	0.831493235
2	-1.354852733	-0.442938401	0.086683575
4	1.598727056	-0.834100135	-0.778011365
6	-1.736410106	-2.153784123	-2.087355435
8	-1.561917405	-1.330285735	-0.325533904
10	0.884470266	-0.574948531	-0.901475308
12	1.040350412	0.081485404	0.068566583
14	0.814673185	0.021809592	1.116220772
16	0.280492863	0.318102086	0.495769722
18	0.17975241	1.710537705	1.608287215
20	0.434279096	1.104042271	1.07081646
22	-0.271834701	0.498937881	0.25917523
24	0.256296541	0.519803549	-0.922052632
