Hour	leaf +1	internode 1	internode 5
-2	1.059339258	0.466895456	0.605854207
0	1.193616002	0.358418419	0.801028596
2	1.068680249	0.241525059	0.163417086
4	-0.028991266	-0.538387435	-1.107099154
6	-1.236209252	-2.214170636	-1.163894274
8	-1.523444722	-1.154181653	-0.835047393
10	-1.501259869	-0.556014954	-1.76322399
12	-0.825205653	-0.726351957	-0.665979932
14	-0.508779587	0.014751942	-0.121782274
16	-0.230885108	1.276265077	0.765570869
18	0.172692403	1.561484874	0.904891494
20	0.532740897	0.970004475	1.503279855
22	0.574541831	-0.150769055	1.176943255
24	1.253164819	0.450530386	-0.263958344
