Hour	leaf +1	internode 1	internode 5
-2	0.174144839	-0.388206813	-0.075645137
0	-0.130568979	-0.301517801	-0.484032262
2	-1.111862206	-0.903284027	-1.418727209
4	-1.12536005	-1.452314438	-1.024213108
6	-1.766507619	-1.51155193	-1.787229392
8	-1.479678443	-0.952407801	-0.333163133
10	0.222062184	0.976422721	0.942721483
12	1.30087733	1.703888016	1.455589814
14	1.054879131	1.183753942	1.091422951
16	1.081199926	0.790041345	0.980872297
18	0.744428729	0.453399014	0.796621205
20	0.638133211	0.62172018	0.458813087
22	0.393943723	0.157428278	0.018864834
24	0.004308222	-0.377370686	-0.621895431
