Hour	leaf +1	internode 1	internode 5
-2	-0.652376976	-0.295862125	-0.841940393
0	-0.810193388	-1.501066572	-1.07864621
2	-0.968136053	-1.444176021	-1.344336413
4	-0.06277486	-0.991677329	-1.315352027
6	-0.204178365	0.777618815	-0.276905895
8	-1.66467457	1.776704419	1.277140255
10	-0.672577477	1.004305781	1.08552126
12	0.516727006	1.045879645	1.378585605
14	1.028052182	0.077427415	1.079080285
16	0.167005836	0.274793866	0.755421311
18	0.788171235	0.832321268	0.411687429
20	2.36886042	-0.393451301	-0.212496149
22	-0.154939644	-0.827569969	0.006303759
24	0.321034655	-0.335247891	-0.924062819
