Hour	leaf +1	internode 1	internode 5
-2	0.973176398	-1.420045777	-0.841197709
0	0.161792922	-1.424913435	-0.362293329
2	0.097992986	-0.749806636	-1.350421215
4	-1.773878174	-1.00779254	-1.63592632
6	-1.34583614	-0.066087826	-0.700627214
8	-1.213088927	1.087547253	0.913636565
10	-0.381387	1.038121797	0.64765514
12	0.200397979	0.924667909	1.331673002
14	1.015167863	1.529380877	1.483268633
16	1.287435107	0.198637913	0.683946215
18	1.387672798	1.083802901	0.964168442
20	0.517501271	-0.218482982	-0.247907535
22	-0.250265263	-0.188153725	-0.22921832
24	-0.676681821	-0.786875728	-0.656756358
