Hour	leaf +1	internode 1	internode 5
-2	-0.216264089	1.095629581	0.026808355
0	1.060312509	1.132344441	0.218325772
2	0.346383254	0.970569593	1.354567165
4	0.921601299	0.436253659	1.219504508
6	1.182226657	-0.195127183	1.53107762
8	0.319074484	-0.904756569	0.160441777
10	-0.001370083	-1.123898384	-0.487001432
12	-1.304280137	-1.427943311	-0.460560595
14	-1.884049644	-1.491046975	-2.111326391
16	-1.055575273	-0.933440052	-1.176607057
18	-1.00355857	0.263774135	-0.646361074
20	0.032982615	0.215276101	-0.370661747
22	0.208430621	0.768637868	0.108274719
24	1.394086356	1.193727096	0.633518381
